npack,ne,GPU time (ms),GPU GFLOPS
29000,550,93.8701,93.4536
30000,550,106.092,85.5389
31000,550,101.821,92.0977
32000,550,104.11,92.9786
33000,550,107.984,92.4442
34000,550,120.051,85.6717
35000,550,114.619,92.3715
36000,550,127.753,85.2424
37000,550,121.173,92.3682
38000,550,124.091,92.6339
39000,550,137.622,85.7242
40000,550,131.312,92.1472
1000,600,4.90358,73.4157
2000,600,8.5929,83.7901
3000,600,13.1264,82.2768
4000,600,14.5711,98.8255
5000,600,18.6316,96.6101
6000,600,21.9259,98.5138
7000,600,28.6753,87.8804
8000,600,32.0969,89.7284
9000,600,32.1935,100.641
10000,600,40.5045,88.8791
11000,600,39.4427,100.399
12000,600,48.7536,88.6088
13000,600,53.625,87.2726
14000,600,56.9934,88.4313
15000,600,55.9841,96.4559
16000,600,65.5547,87.8655
17000,600,63.1422,96.9241
18000,600,67.6703,95.7584
19000,600,77.6929,88.0389
20000,600,82.0483,87.7531
21000,600,78.8058,95.932
22000,600,82.6836,95.7868
23000,600,93.7185,88.3497
24000,600,97.3018,88.7959
25000,600,94.6155,95.1219
26000,600,106.432,87.9434
27000,600,101.448,95.8122
28000,600,105.168,95.8463
29000,600,118.098,88.4009
30000,600,114.047,94.698
31000,600,126.196,88.4338
32000,600,120.823,95.3461
33000,600,135.181,87.8823
34000,600,128.664,95.1312
35000,600,132.496,95.0969
36000,600,146.188,88.6528
37000,600,150.743,88.3621
38000,600,144.633,94.5841
39000,600,147.403,95.2493
40000,600,161.801,88.9982
1000,650,5.45678,77.4266
2000,650,10.5848,79.8315
3000,650,13.4256,94.4091
4000,650,17.392,97.171
5000,650,21.4189,98.6279
6000,650,28.8173,87.9679
7000,650,29.7726,99.3363
8000,650,33.5554,100.729
9000,650,42.6768,89.1
10000,650,42.9816,98.298
11000,650,52.3518,88.7744
12000,650,56.313,90.0325
13000,650,55.2768,99.3635
14000,650,60.7596,97.3509
15000,650,65.124,97.3143
16000,650,70.1298,96.3927
17000,650,74.1571,96.8552
18000,650,78.5934,96.7638
19000,650,82.8621,96.8778
20000,650,94.5264,89.393
21000,650,99.1226,89.5104
22000,650,96.143,96.6789
23000,650,108.326,89.7058
24000,650,113.168,89.6017
25000,650,108.438,97.4061
26000,650,122.483,89.6862
27000,650,127.518,89.4576
28000,650,122.264,96.7575
29000,650,127.458,96.1298
30000,650,132.305,95.8013
31000,650,137.134,95.5089
32000,650,149.836,90.2319
33000,650,155.244,89.8104
34000,650,149.58,96.0356
35000,650,154.611,95.6433
36000,650,158.223,96.1303
37000,650,163.024,95.8909
38000,650,178.554,89.9168
39000,650,171.534,96.0599
40000,650,175.787,96.1393
1000,700,5.85401,83.7033
2000,700,10.6699,91.8469
3000,700,14.9937,98.041
4000,700,19.4002,101.03
5000,700,24.0976,101.67
6000,700,31.937,92.0564
7000,700,32.9673,104.043
8000,700,38.0903,102.913
9000,700,47.3821,93.073
10000,700,46.7703,104.767
11000,700,53.1791,101.356
12000,700,63.1119,93.1678
13000,700,63.3638,100.531
14000,700,67.9062,101.022
15000,700,79.9258,91.9602
16000,700,84.3047,92.996
17000,700,84.3743,98.7268
18000,700,88.8076,99.3159
19000,700,93.3628,99.7185
20000,700,97.8026,100.202
21000,700,111.663,92.152
22000,700,107.894,99.9129
23000,700,112.84,99.8756
24000,700,117.831,99.8039
25000,700,123.625,99.0902
26000,700,128.53,99.121
27000,700,142.628,92.7586
28000,700,146.665,93.5467
29000,700,143.946,98.7177
30000,700,149.217,98.5145
31000,700,163.514,92.8974
32000,700,157.614,99.4835
33000,700,175.193,92.2983
34000,700,179.87,92.6222
35000,700,173.269,98.9792
36000,700,188.678,93.4927
37000,700,195.593,92.6926
38000,700,188.963,98.5377
39000,700,205.453,93.0139
